,pdf_name,page,id,legible_name,Legal_Issues,Facts,Arguments,judges,petitioners,respondant
2231,Kantaru_Rajeevaru_vs_Indian_Young_Lawyers_Association_on_14_November_2019.PDF,1,796c30e7-68b8-41f9-ba2b-f09965161233,Kantaru Rajeevaru vs Indian Young Lawyers Association on 14 November 2019.PDF,"The legal issue in the case revolves around the interpretation of the Constitution, specifically concerning matters related to the right to profess, practice, and propagate one's religion. The case discusses the need for authoritative pronouncements by the Supreme Court on seminal issues, such as those involving entry of Muslim women in Durgah/Mosque, Parsi women married to a non-Parsi in the Agyari, and the practice of female genital mutilation in the Dawoodi Bohra community. These issues are considered to be overlapping and may require a larger bench to ensure an authoritative and consistent approach in addressing them. Additionally, the case raises questions about the jurisdiction of courts in matters related to religion and religious practices, emphasizing the need for caution when deciding on such issues. The conflict between the role of the court in determining essential religious practices of a denomination and leaving such determinations to the denomination itself is highlighted, indicating a need for further consideration by a larger bench.","1. The case involves review petitions and writ petitions regarding a specific judgment.
2. The review petitions were filed under Article 137 of the Constitution of India, read with Order XLVII of the Supreme Court Rules, 2013.
3. The Supreme Court emphasized the limited jurisdiction within which a review petition should be filed, as outlined in previous judgments.
4. The Court referred to specific principles laid down in the case law on review petitions, summarizing the grounds on which a review is maintainable.
5. The judgment highlighted the importance of respecting and enforcing court decisions to uphold the rule of law.
6. The State of Kerala was directed to give wide publicity to the judgment and take steps to ensure compliance with it.
7. The Court emphasized the need for the State government to preserve the rule of law and address any organized resistance to the judgment's implementation.","1. Arguments were made regarding the exclusion of women between the ages of 10 to 50 from a temple based on the celibacy vow of the deity rather than menstruation being considered polluting.
2. An extreme argument was presented suggesting that since worshippers from all faiths visit Sabarimala, it cannot be considered a Hindu temple. This argument was refuted by comparing it to a Christian church allowing worshippers of all faiths.
3. It was argued that gender restrictions in other places of worship have not been interfered with and are considered essential religious practices. This argument was deemed vague and not suitable for a review.
4. Some petitioners claimed that a previous Division Bench judgment should be considered res judicata, as it addressed similar issues. However, the court discussed the application of res judicata in public interest litigations.","1. D.Y. Chandrachud
2. R.F. Nariman
3. Ranjan Gogoi",Kantaru Rajeevaru,Indian Young Lawyers Association
2271,Kathi_Raning_Rawat_vs_The_State_Of_Saurashtra_on_27_February_1952.PDF,1,97c7bd34-7fd2-47e6-a6a0-1b36498fe8d7,Kathi Raning Rawat vs The State Of Saurashtra on 27 February 1952.PDF,"The legal issue in the case revolves around the constitutionality of the impugned Ordinance passed by the State to address the increasing incidents of looting, robbery, dacoity, nosecutting, and murder by marauding gangs of dacoits in certain areas. The key question is whether the two-fold classification based on type and territory adopted in the Ordinance, along with the notification issued under it, is reasonable and valid under the principles of equal protection guaranteed by the law. The court needs to determine if the classification and the resulting disparity in treatment are justified by the objective of combating regional crime and maintaining public peace, without exceeding what the situation demands. Additionally, the case also involves a discussion on the delegation of legislative power to subordinate agencies and the jurisdiction of the Special Judge to try the accused individuals.","1. The State of Saurashtra faced increasing incidents of looting, robbery, dacoity, nosecutting, and murder by marauding gangs of dacoits in specific areas.
2. The security of the State and public peace were jeopardized due to the escalating crimes in these areas.
3. The State found it challenging to deal with the offenses committed in different places expeditiously through separate courts of law.
4. The impugned Ordinance was passed to address the rising regional crime rates and combat the activities of dacoits in the specified zones.
5. The Ordinance classified offenses based on type and territory, aiming to streamline the legal process and enhance law enforcement efforts.
6. The differentiation in treatment under the Ordinance was considered reasonable and valid, not exceeding what the situation demanded.
7. The Special Judge was granted jurisdiction to try the appellant and the accused individuals involved in the case.","1. Equal protection claims under article 14 are examined with the presumption of reasonableness and justification of State action due to the wide power of classification necessary for legislation.
2. The power of the State to regulate criminal trials by constituting different courts with different procedures based on territorial needs is considered essential for maintaining public order and security.
3. Disparity in treatment due to differing procedures is not discriminatory unless it goes beyond what is necessary for a fair trial.
4. Article 14 provides constitutional protection against discriminatory procedural laws, ensuring a fair and impartial trial.
5. The impugned Ordinance in the case was passed to combat increasing regional crime, justifying the two-fold classification based on type and territory as reasonable and valid.
6. The delegation of legislative power to subordinate agencies is constitutionally competent, as legislatures have the authority to delegate such power.
7. The Ordinance did not offend the equal protection clause of the Constitution, as it aimed to maintain public safety, order, and peace in the State of Saurashtra.
8. The absence of a rational classification in the Ordinance, particularly regarding the establishment of a Special Court and treatment of cognate offences, was a point of contention.
9. The negation of committal proceedings was highlighted as a significant issue for the accused, affecting their ability to challenge evidence and potentially leading to unfair treatment.
10. The argument that there was no discrimination against the appellant compared to others charged with similar offences was deemed unacceptable due to the lack of a rational classification in the treatment of offences.","1. M. Patanjali Sastri
2. Saiyid Fazal Ali
3. Mehr Chand Mahajan
4. B.K. Mukherjea
5. N. Chandrasekhara Aiyar
6. Vivian Bose",Kathi Raning Rawat,THE STATE OF SAURASHTRA
2299,Kesavananda_Bharati_Sripadagalvaru_vs_State_Of_Kerala_And_Anr_on_24_April_1973.PDF,1,f4ad884c-6be2-4af7-bc72-1a80a399b093,Kesavananda Bharati Sripadagalvaru vs State Of Kerala And Anr on 24 April 1973.PDF,"The legal issue in the case revolves around the interpretation of the amending power as outlined in the Constitution. Specifically, the question at hand is the true extent and scope of the amending power granted by the Constitution. This issue is crucial as it directly impacts the validity and interpretation of certain amendments, such as the 24th and 25th Amendments mentioned in the context. The case requires a determination of whether the original power of amendment was limited or unlimited, which in turn influences the assessment of the validity and scope of subsequent amendments. The interpretation of the word ""amendment"" in the unamended Article 368 and the consideration of inherent and implied limitations on the amending power are central to resolving this legal issue. Additionally, the case necessitates a thorough examination of the constitutional provisions and principles to ascertain the correct interpretation of the amendments in question and to determine whether they align with the constitutional framework.","1. The case involves a challenge to the validity of the Kerala Land Reforms Amendment Act, 1969, and the Kerala Land Reforms Amendment Act, 1971.
2. The petitioner argued that certain provisions of the Acts violated various articles of the Constitution, including Article 14, 19(1)(f), 25, 26, and 31.
3. During the proceedings, three Constitutional amendments were passed - the 24th, 25th, and 29th Amendment Acts.
4. The 24th Amendment clarified the Parliament's power to amend the Constitution and specified that Article 13(2) would not hinder such amendments.
5. The 25th Amendment substituted the word 'amount' for 'compensation' in Article 31, allowing for flexibility in determining compensation for acquired property.
6. The 29th Amendment placed the challenged Acts in the Ninth Schedule to protect them from being challenged on the grounds of violating the Constitution.","1. Bachawat, J., refrained from expressing an opinion on basic features, emphasizing the amending power's reach over fundamental rights.
2. Ramaswami, J., rejected implied limitations, citing the absence of an express provision in Article 368.
3. Extensive arguments involved a global survey of various countries' Constitutions, Supreme Court decisions, academic views, and historical perspectives.
4. The debate encompassed natural law principles, historical context, and the deliberations of the Constituent Assembly.
5. Arguments delved into rules of construction, emphasizing the need to interpret the Constitution in line with the will of the people and exercise judicial restraint.
6. The importance of judicial review and the duty to uphold the Constitution's core principles were central to the arguments presented.
7. The case also involved challenges to specific legislative amendments, such as the Kerala Land Reforms Amendment Acts, based on violations of fundamental rights under the Constitution.","S.M. Sikri, A.N. Grover, A.N. Ray, D.G. Palekar, H.R. Khanna, J.M. Shelat, K.K. Mathew, K.S. Hegde, M.H. Beg, P. Jaganmohan Reddy, S.N. Dwivedi, Y.V. Chandrachud",His Holiness Kesavananda Bharati Sripadagalvaru,State of Kerala and Anr
3020,Keshavan_Madhava_Menon_vs_The_State_Of_Bombay_on_22_January_1951.PDF,1,35cf7069-8284-4914-973f-3f74c9e9b654,Keshavan Madhava Menon vs The State Of Bombay on 22 January 1951.PDF,"The legal issue in the case revolves around the effect of the Constitution of India coming into force on pending legal proceedings. Specifically, the question is whether the provisions of the Indian Press (Emergency Powers) Act, 1931, under which the appellant was being prosecuted, were rendered void by being inconsistent with the fundamental rights guaranteed by the Constitution.

The appellant argued that certain sections of the Act were void due to their inconsistency with Article 19(1)(a) of the Constitution, which guarantees the right to freedom of speech and expression. The appellant contended that since the Constitution came into force during the pendency of the prosecution, the case against him could not proceed based on these allegedly void sections of the Act.

The High Court, in its decision, assumed that the provisions of the Act challenged by the appellant were indeed inconsistent with the fundamental rights guaranteed by the Constitution. The High Court held that Article 13(1) of the Constitution had the effect of repealing such inconsistent provisions of existing laws. However, the High Court also noted that pending proceedings were not affected by this repeal, citing Section 6 of the General Clauses Act, which is applicable for interpreting the Constitution.

Ultimately, the legal issue in the case was whether the provisions of the Indian Press (Emergency Powers) Act, 1931, were void due to their inconsistency with the fundamental rights guaranteed by the Constitution, and if so, whether this rendered the prosecution against the appellant invalid.","1. The appellant was the Secretary of People's Publishing House, Ltd., a company incorporated under the Indian Companies Act with its registered office in Bombay.
2. In September 1949, the appellant allegedly published a pamphlet titled ""Railway Mazdooron ke khilaf Nai Zazish"" in Bombay.
3. The Bombay Government authorities considered the pamphlet to be a ""news sheet"" under the Indian Press (Emergency Powers) Act, 1931, and initiated a prosecution against the appellant for publishing it without the required authorization.
4. The prosecution was registered as Case No. 1102/P of 1949 in the Court of the Chief Presidency Magistrate, Bombay.
5. The appellant filed an application in the High Court of Judicature at Bombay under article 228 of the Constitution of India, seeking to quash the proceedings against him.
6. It was argued that sections 16 and 18 of the Indian Press (Emergency Powers) Act, 1931, were unconstitutional and void under Part III of the Constitution of India, and therefore, the prosecution could not proceed after the Constitution came into force.","1. The first argument raised was regarding the interpretation of Article 13(1) without a saving clause, suggesting that offences committed before a certain date could still be punished.
2. The second argument was about applying the principle underlying Section 6 of the General Clauses Act even if it does not explicitly apply, contending that the Legislature should have made the section more comprehensive.","1. Hiralal J. Kania (Chief Justice)
2. Saiyid Fazal Ali
3. Mehr Chand Mahajan
4. N. Chandrasekhara Aiyar
5. B.K. Mukherjea",Keshavan Madhava Menon,THE STATE OF BOMBAY
3039,Kihoto_Hollohan_vs_Zachillhu_And_Others_on_18_February_1992.PDF,1,2a904a29-de41-4926-8038-8c4db73775c1,Kihoto Hollohan vs Zachillhu And Others on 18 February 1992.PDF,"The legal issue in the case revolves around the interpretation and application of the finality clause in Para 6(1) of the Tenth Schedule to the Constitution. The issue at hand is whether the finality clause, which states that the decision of the Chairman or the Speaker of the House shall be final, is sufficient to exclude the jurisdiction of the High Courts under Articles 226 and 227, as well as the Supreme Court under Article 136 of the Constitution. The contention is that the finality clause, by itself, is not enough to preclude the extraordinary jurisdiction of the High Courts and the plenary jurisdiction of the Supreme Court. Additionally, the case discusses the limitations of legal fictions and the need to confine their scope to the language used in creating them, without extending their meaning beyond what is explicitly stated. The legal issue also delves into the justiciability of matters falling within the ambit of clause (1) of Articles 122 and 212, particularly in relation to the disqualification of a member, and whether such decisions are subject to judicial review based on grounds of illegality or perversity. Furthermore, the case addresses the broad language used in Paragraph 7 of the Tenth Schedule, which seemingly excludes the jurisdiction of all courts, including the Supreme Court and High Courts, in matters connected with the disqualification of a member under the Schedule.","1. The case involves the constitutional validity of the Tenth Schedule of the Constitution introduced by the Constitution (Fifty-Second Amendment) Act, 1985.
2. The case was heard along with a batch of Writ Petitions, Transfer Petitions, civil Appeals, Special Leave Petitions, and other connected matters.
3. The order dated 12th November, 1991 upheld the constitutional validity of the Tenth Schedule, except for Paragraph 7 which was declared invalid due to lack of ratification.
4. The factual controversies raised in the Writ Petition before the High Court of Guwahati were not addressed by the court, and the case was remitted back to the High Court for disposal according to law.
5. Various learned counsels and the Attorney-General presented arguments both in support and against the constitutional validity of the amendment during the proceedings.","1. Shri F.S. Nariman, Shri Shanti Bhushan, Shri M.C. Bhandare, Shri Kapil Sibal, Shri Sharma, and Shri Bhim Singh supported the petitions.
2. Learned Attorney-General, Shri Soli J. Sorabjee, Shri R.K. Garg, and Shri Santhosh Hegde argued in favor of the constitutional validity of the amendment.
3. Shri Ram Jethmalani challenged the validity of the amendment for reasons similar to those presented by Shri Sharma.","1. Venkatachalliah, M.N. (J)
2. Sharma, L.M. (J)
3. Verma, Jagdish Saran (J)
4. Reddy, K. Jayachandra (J)
5. Agrawal, S.C. (J)",Kihoto Hollohan,Zachillhu and Others
3123,L_Chandra_Kumar_vs_Union_Of_India_And_Others_on_18_March_1997.PDF,1,7320bcb5-951e-42dd-807f-8e5362350553,L Chandra Kumar vs Union Of India And Others on 18 March 1997.PDF,"The legal issue in the case revolves around the constitutionality of Article 323A(2)(d) of the Constitution and Section 28 of the Act as declared by a full Bench of the Andhra Pradesh High Court in the judgment of Sakinala Harinath and Ors. v. State of A.P. The High Court held that these provisions were unconstitutional to the extent that they empowered Parliament to exclude the jurisdiction of the High Courts under Article 226 of the Constitution and divested the High Courts of jurisdiction under Article 226 in relation to service matters. The judgment delves into the concept of judicial power, judicial review, and the power of constitutional courts like the Supreme Court and High Courts to pronounce upon the validity of statutes, actions, and orders. It also discusses the role of the judiciary in safeguarding fundamental rights and the balance of power between the three branches of government. The case raises important questions about the scope and limits of judicial review, especially in matters concerning constitutional provisions and fundamental rights.","1. A full Bench of the Andhra Pradesh High Court declared certain provisions of the Constitution and an Act unconstitutional.
2. The judgment analyzed the power of judicial review held by the Supreme Court and High Courts under the constitutional scheme.
3. The judgment extensively referred to landmark decisions by the Supreme Court and compared with international jurisdictions.
4. The judgment emphasized that the power of judicial review is exclusively entrusted to the constitutional courts.
5. The decision in Sampath Kumar's case was analyzed in contrast to previous rulings, highlighting the importance of constitutional courts in judicial review matters.","1. Declaration of Article 323A(2)(d) of the Constitution and Section 28 of the Act as unconstitutional by the Andhra Pradesh High Court.
2. Assertion that the power of judicial review is solely vested in the Supreme Court and High Courts under the constitutional scheme.
3. Analysis of various landmark decisions by Constitution Benches to support the exclusive authority of constitutional courts in matters of judicial review.
4. Criticism of the theory of alternative institutional mechanisms established in Sampath Kumar's case as conflicting with established legal propositions.
5. Emphasis on the need for High Courts to exercise judicial superintendence over Tribunal decisions under Article 227 of the Constitution.
6. Modification of the existing system to disallow direct appeals to the Supreme Court from Tribunal decisions, redirecting appeals to High Courts first.
7. Clarification that Tribunals can hear matters questioning the vires of statutory provisions but cannot replace the role of High Courts and the Supreme Court in this regard.
8. Exception that Tribunals cannot entertain questions regarding the vires of their parent statutes and only the concerned High Court may be approached directly in such cases.
9. Direction for all Tribunal decisions to be subject to scrutiny before a Division Bench of the respective High Courts, with prospective effect on decisions rendered thereafter.","A.M. Ahmadi, M.M. Punchhi, K. Ramaswamy, S.P. Bharucha, S. Saghir Ahmad, K. Venkataswami, K.T. Thomas",L. Chandra Kumar,Union of India and others
3161,M_Nagaraj_Others_vs_Union_Of_India_Others_on_19_October_2006.PDF,1,4ace2963-2f12-4481-af31-d980645947ca,M Nagaraj Others vs Union Of India Others on 19 October 2006.PDF,"The legal issue in the case revolves around the extent of reservation in public employment under Article 16(4) of the Constitution. The concern is whether the reservation provided by the State Governments is excessive, which could potentially infringe upon the principle of equality enshrined in Article 16(1). The case emphasizes that while reservations based on backwardness and inadequacy of representation are justifiable, excessive reservation could lead to a violation of constitutional requirements. The court is tasked with determining the proportionality of reservation in each case, ensuring that it does not undermine the overall efficiency of the administration or encroach upon the principle of equality. The issue at hand is not the existence of reservation itself but rather the extent to which it is implemented, with a focus on balancing the interests of social justice and equality within the framework of the Constitution.","1. The case involves a discussion on the concept of equality as a fundamental feature or basic structure of the Constitution.
2. The judgment emphasizes the interconnectedness of equality, rule of law, judicial review, and separation of powers.
3. It highlights that equality before the law is essential for the rule of law to exist and be meaningful.
4. The case underscores the importance of judicial review in ensuring the distribution of legislative powers and upholding the Constitution's objectives.
5. The judgment references the significance of Articles 14 and 19 in ensuring fundamental rights essential for democracy.
6. It establishes that equality is considered the essence of democracy and a basic feature of the Constitution.
7. The case discusses the theory of basic structure, emphasizing that changes should not destroy the essence of the Constitution.
8. It introduces a working test for determining if a particular feature is part of the basic structure, focusing on its place in the Constitution's scheme, purpose, and impact on the Constitution's integrity.","1. The petitioners argue that the Constitution (Eighty-Fifth Amendment) Act, 2001, which introduced reservation in promotion with consequential seniority, is unconstitutional and violates the basic structure of the Constitution.
2. They claim that the Parliament overstepped its bounds by reversing judicial decisions through the impugned amendment, thereby encroaching on the judicial power and acting as an appellate authority.
3. The petitioners contend that the amendment alters the fundamental right of equality, as they believe that equality in the context of Article 16(1) should not include consequential seniority attached to accelerated promotion.
4. They argue that providing reservation in promotions with consequential seniority impairs efficiency and goes against the principles established in previous judgments, such as the Indra Sawhney case of 1992.
5. The petitioners also challenge the Constitution (Seventy-Seventh Amendment) Act, 1995, which reintroduced reservation in promotions, contrary to the interpretation of Article 16(4) provided in the Indra Sawhney case.
6. They raise concerns about the negative consequences of accelerated seniority for roster-point promotees, highlighting potential issues with career progression and age-related advancements.","Y.K.SABHARWAL, K.G.BALAKRISHNAN, S.H.KAPADIA, C.K.THAKKER, P.K. BALASUBRAMANYAN",M. Nagaraj & Others,Union of India & Others
3204,Madras_Bar_Association_vs_Union_Of_India_Anr_on_25_September_2014.PDF,1,302d6a9a-e136-448e-9514-9c8b99a0b0f7,Madras Bar Association vs Union Of India Anr on 25 September 2014.PDF,"The legal issue in the case revolves around the concept of judicial review and the separation of powers within the Indian constitutional framework. The case discusses the importance of having an independent judiciary to resolve disputes regarding the legality of executive actions and the validity of laws enacted by the legislature. It emphasizes that leaving such determinations to the executive or the legislature would undermine the legal protections guaranteed to citizens by the Constitution and laws.

Furthermore, the case highlights the significance of judicial review as a fundamental principle of the Indian Constitution. It asserts that judicial review is essential for maintaining the rule of law and democracy by ensuring that all branches of the government, including the executive and the legislature, operate within the limits of their constitutional powers. The case also clarifies that any attempt to diminish or eliminate the power of judicial review would be considered as undermining the basic structure of the Constitution.

In essence, the legal issue in the case revolves around the constitutional validity of the power of judicial review and the necessity of an independent judiciary to uphold the rule of law and protect the rights of citizens.","1. The Attorney-General filed a memorandum stating that Section 2(q) of the Act would be amended to exclude certain individuals from its purview.
2. The Government agreed to arrange for sittings of the Tribunal at the seat or seats of each High Court.
3. The power of judicial review was emphasized as a vital principle of the Constitution.
4. Article 32 was described as the 'soul' and 'heart' of the Constitution.
5. The Act preserved the jurisdiction of the Supreme Court under Article 32 and Article 136 for entertaining appeals against decisions of the Tribunal.
6. The question arose whether the bar of jurisdiction under Articles 226 and 227 affected the provision for judicial review.
7. The High Courts have played a significant role in the preservation of fundamental rights through the power of judicial review.
8. The statutory scheme of the Central Excise and Salt Act, 1944 involved the High Court deciding questions of law arising from the appellate tribunal's orders.
9. The Act allowed for references to the High Court on questions of law, with provisions for statements of case and memorandums of cross-objections.
10. The Appellate Tribunal was required to refer cases to the High Court based on applications made under the Act.","1. The first contention raised was regarding the accuracy of the number of tax-related cases pending before High Courts, with the petitioners asserting that the figures provided by the Revenue were incorrect.
2. It was argued that the amount of tax recovery held up in tax litigation before High Courts, as claimed by the Revenue, was inaccurate and misleading, as it included interest and penalties imposed on the basic tax amount.
3. The petitioners contended that the establishment of the National Tax Tribunal (NTT) would not necessarily lead to uniformity in decisions related to tax laws, as differences in opinions could also arise within the NTT, similar to how they might occur between different High Courts.
4. Additionally, it was pointed out that the pendency of tax appeals in various High Courts was relatively low, and that the figures provided by the Revenue regarding the amount of tax held up in pending cases before High Courts were flawed and deceptive.","- Jagdish Singh Khehar
- J. Chelameswar
- A.K. Sikri
- Rohinton Fali Nariman",Madras Bar Association,Union of India and another
3397,Managing_Director_Ecil_Hyderabad_Etc_vs_B_Karunakar_Etc_Etc_on_1_October_1993.PDF,1,240a4fad-0fe8-4951-8602-2df661afaa29,Managing Director Ecil Hyderabad Etc vs B Karunakar Etc Etc on 1 October 1993.PDF,"The legal issue in the case revolves around the principles of natural justice and the right to a reasonable opportunity in disciplinary proceedings involving government servants. Specifically, the issue concerns the right of a government servant to receive the report of the Inquiry Officer and to represent against the findings recorded in it when the Inquiry Officer is not the disciplinary authority. This right was traditionally exercised at the stage when the employee was served with a notice to show cause against the proposed penalty.

The crux of the legal issue is the interconnection between the right to receive the Inquiry Officer's report, the right to represent against the findings in the report, and the right to show cause against the proposed penalty. Prior to the 42nd Amendment of the Constitution, these rights arose simultaneously when a notice to show cause against the proposed penalty was issued. If the disciplinary authority decided not to impose a penalty of dismissal, removal, or reduction in rank after considering the Inquiry Officer's report, there was no requirement to issue a notice to show cause against the proposed penalty.

The legal issue delves into the intricacies of when and how these rights are triggered in disciplinary proceedings involving government servants, emphasizing the importance of natural justice, reasonable opportunity, and the procedural fairness owed to individuals facing disciplinary actions.","1. The case involves a delinquent officer who was provided with all materials and given an opportunity to make representations during an enquiry conducted by a fact-finding authority.
2. The report of the enquiry did not contain any additional information beyond what was already supplied to the delinquent officer.
3. The principle of natural justice was discussed, emphasizing that it cannot be rigidly applied in a uniform manner and must be considered based on the specific facts of each case.
4. Various legal cases and amendments were referenced to highlight the importance of providing the delinquent officer with a copy of the enquiry report before the disciplinary authority considers the material and decides on the proof of charge and the nature of the punishment to be imposed.
5. Non-compliance with providing the copy of the enquiry report was deemed as a denial of reasonable opportunity, violating constitutional articles and the principles of natural justice.
6. The discussion also touched upon the implications of the 42nd Amendment Act on the rights of the delinquent officer in terms of hearing before the disciplinary authority on proof of charge or penalty.
7. The disciplinary authority was noted to have the responsibility to consider and impose a proper penalty based on factors such as the gravity of misconduct, impact on discipline, and previous conduct of the individual.","1. The argument presented was regarding the retrospective application of legal principles, specifically whether a new legal ruling should be applied to past cases or only to future cases.
2. It was debated whether the benefits of a new legal ruling should extend to parties whose cases had already been finalized, were pending trial, or in appeal.
3. The discussion included considerations such as the reliance on the previous legal framework by the administration, the practicality of implementing the new rule without causing injustice, and the impact on the administration of justice.
4. The argument also touched upon the distinction between civil and criminal cases, as well as the application of new legal rules to constitutional, statutory, or common law rights.
5. The decision-making process was highlighted as a matter of judicial policy, not constitutional compulsion, with each case evaluated based on its individual merits and circumstances.","1. M.N. Venkatachaliah
2. P.B. Sawant
3. K. Ramaswamy
4. S. Mohan
5. B.P. Jeevan Reddy",Managing Director ECIL Hyderabad Etc.,B. Karunakar
3434,Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978.PDF,1,0b1155ce-276a-4590-a9dc-35b6d2a9654e,Maneka Gandhi vs Union Of India on 25 January 1978.PDF,"The legal issue in the case revolves around the validity of a legislation regulating travel abroad and the indefinite immobilization of the petitioner's passport. The key questions raised include whether the legislation is overbroad or void in part, the justification for immobilizing the passport without clear reasons provided to the petitioner, and the potential violation of fundamental rights guaranteed under Articles 21, 19, and 14 of the Constitution. Specifically, the focus is on whether the impugned section of the Passports Act, especially Section 10(3)(c), infringes on constitutional rights and if it can be circumscribed to align with the Constitution. Additionally, the legality of the impounding order in relation to the overall validity of the Passports Act is under scrutiny. The case delves into the interplay between personal liberty, the right to travel abroad, and the procedural safeguards established by law, emphasizing the need to ensure that any restrictions on personal liberty are within constitutional limits and do not unduly infringe on fundamental rights.","- The case involved a State action related to newsprint policy.
- The policy imposed a maximum limit of ten pages for every newspaper.
- Newspapers were not allowed to increase the number of pages by reducing circulation to meet the limit.","1. Impounding a passport without giving the holder a reasonable opportunity to be heard violates the principle of fairness and justice.
2. The petitioner argued that impounding a passport restricts the constitutional right to travel abroad and should not be done without following the principle of audi alteram partem.
3. While the Passports Act, 1967 does not explicitly require a hearing before impounding a passport, the absence of such a provision does not conclusively settle the matter.
4. The law may imply the need for a hearing even when not explicitly stated in the statute, as established by legal precedents.
5. The argument is centered around the fairness and justness of the procedure for impounding passports, emphasizing the importance of providing an opportunity for the passport holder to present their case before such a significant action is taken.","1. M. Hameedullah Beg
2. Y.V. Chandrachud
3. P.N. Bhagwati
4. V.R. Krishnaiyer
5. N.L. Untwalia
6. Syed Murtaza Fazalali
7. P.S. Kailasam",Maneka Gandhi,Union of India
3584,Modern_Dental_College_Res_Cen_Ors_vs_State_Of_Madhya_Pradesh_Ors_on_2_May_2016.PDF,1,472ec280-45f4-4468-9f53-e30f229de468,Modern Dental College Res Cen Ors vs State Of Madhya Pradesh Ors on 2 May 2016.PDF,"The legal issue in the case revolves around the conflict between the State Government and private educational institutions, specifically private medical colleges, regarding the control and regulation of these institutions. The State Government aims to control these institutions for socio-political reasons, while the institutions themselves desire to have functional control in the best interests of the students. The dispute arises from the State's desire to regulate these institutions versus the private institutions' desire for autonomy in running their establishments.

The central legal question is whether the provisions in the Act and Rules infringe upon the rights of educational institutions to admit students. This issue is analyzed in light of Article 19(1)(g) of the Constitution, which guarantees the right to establish and manage educational institutions as a fundamental right. However, this right is not absolute and can be subject to reasonable restrictions under Article 19(6) in the interest of the general public.

The doctrine of proportionality is applied to determine the reasonableness of restrictions imposed on the exercise of rights under Article 19(1)(g). The court must strike a balance between fundamental rights and the larger interests of society, considering factors such as the purpose of the restriction, extent of restriction, and Directive Principles of State Policy. The State's authority to regulate education to promote merit, excellence, and curb malpractices is acknowledged, as long as it is done in the interest of the student community and does not violate fundamental rights.

In summary, the legal issue in the case involves the tension between the State's regulatory authority over private educational institutions and the institutions' rights to autonomy in managing their affairs, particularly in the context of admissions and student welfare. The court must determine the reasonableness of the restrictions imposed by the State to ensure a balance between individual rights and the broader societal interests in education.","1. The case involves a challenge to the constitutional validity of the Act, 2007 along with Rules, 2008 and Rules, 2009.
2. The dispute revolves around the control of private medical colleges by the State Government and the desire of institutions to have functional control for the benefit of students.
3. There is a conflict of interest between State Governments wanting control for socio-political reasons and private institutions seeking autonomy to provide quality education.
4. Private medical colleges play a significant role in imparting medical education due to the lack of sufficient funds with the State to provide top-notch infrastructure.
5. The case reflects a shift from complete Government control over education to a scenario where private institutions are allowed to operate under a regulatory framework.
6. Education is considered an 'occupation' and a fundamental right under Article 19(1)(g) of the Constitution, with restrictions in place to prevent profiteering and ensure admissions are merit-based.
7. The State's liberalization policy allows for the establishment of private educational institutions, emphasizing quality education within a regulated framework.","1. The tension between the rights of individuals and the limitations imposed by statutes is a fundamental aspect of democracy.
2. The resolution of this tension is achieved through proper balancing of competing principles, allowing each facet to develop harmoniously.
3. The concept of 'proportionality' is introduced as a criterion for balancing rights and limitations imposed by laws.
4. Chief Justice Dickson of Canada outlines the criteria for determining the reasonableness and justification of limitations on constitutional rights.
5. The discussion in the case revolves around the conflict of interest between State Governments and private institutions regarding control over medical colleges.
6. Private medical colleges play a significant role in imparting education, and there is a shift towards allowing private players in the education sector.
7. While education is considered a fundamental right, regulations are in place to ensure quality education without profiteering or commercialization.
8. Admission to educational institutions must be based on merit, and methods for testing merit are suggested.","Anil R. Dave, A.K. Sikri, R.K. Agrawal, Adarsh Kumar Goel, R. Banumathi",Modern Dental College and Research Centre & Others,State of Madhya Pradesh & Ors.
